track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
56,0.625,0.719,4,-5.541,1,0.0612,0.048,0,0.0668,0.326,101.091
77,0.547,0.795,8,-3.721,1,0.0489,0.145,0,0.11,0.723,118.118
71,0.673,0.596,10,-7.891,1,0.0354,0.166,0,0.11,0.19,123.969
64,0.699,0.633,6,-6.547,1,0.0362,0.0453,0,0.101,0.458,123.449
82,0.647,0.726,3,-4.389,0,0.0552,0.157,0,0.0844,0.767,114.996
81,0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-6,0.338,0.505,118.159
41,0.655,0.427,2,-11.684,0,0.0799,0.295,0.00108,0.0788,0.224,107.992
62,0.79,0.865,6,-4.159,1,0.0438,0.0264,0.0892,0.24,0.362,122.99
5,0.611,0.737,0,-5.154,0,0.0476,0.0145,0,0.107,0.574,124.169
72,0.726,0.763,4,-6.872,1,0.0882,0.524,2.64e-6,0.0943,0.516,128.02
24,0.714,0.705,10,-6.479,1,0.0995,0.292,3.86e-4,0.126,0.471,114.994
58,0.619,0.938,5,-5.245,1,0.35,0.0257,1.39e-5,0.128,0.601,94.38
65,0.575,0.808,1,-4.578,1,0.0439,0.0446,0,0.0693,0.232,127.922
64,0.768,0.808,5,-1.818,1,0.112,0.00627,5.33e-6,0.343,0.664,119.971
53,0.767,0.605,6,-5.737,0,0.188,0.559,3.63e-4,0.193,0.657,107.042
72,0.466,0.612,8,-4.855,0,0.0307,0.0655,4.07e-6,0.132,0.236,128.114
39,0.434,0.917,9,-3.613,0,0.0633,0.301,1.8e-5,0.289,0.622,121.967
75,0.744,0.79,8,-4.617,0,0.0562,0.0547,8.02e-4,0.32,0.847,125.002
60,0.837,0.818,8,-4.474,0,0.0533,0.0527,0.00642,0.11,0.484,109.993
18,0.514,0.856,2,-4.285,1,0.0717,0.00123,6.34e-6,0.544,0.351,117.014
79,0.69,0.622,5,-5.025,0,0.0622,0.253,0,0.116,0.544,102.04
60,0.466,0.869,3,-4.275,1,0.0529,0.0142,0.00241,0.115,0.185,126.113
83,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-6,0.0642,0.617,95.881
85,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01
47,0.647,0.624,9,-8.446,1,0.0451,0.025,0.056,0.0616,0.477,115.002
74,0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128
80,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-5,0.35,0.565,105.005
81,0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972
76,0.743,0.733,8,-5.337,1,0.0375,0.00402,0,0.304,0.622,104.977
96,0.721,0.716,10,-7.037,0,0.0657,0.0334,8.4e-4,0.237,0.667,104.994
84,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.9099999999999996e-006,0.325,0.486,123.07
86,0.737,0.828,11,-4.711,1,0.0396,0.0149,5.83e-4,0.0862,0.517,124.052
68,0.57,0.763,1,-4.137,1,0.0573,0.0857,2.49e-6,0.0932,0.43,150.088
66,0.551,0.651,8,-5.828,0,0.0594,0.225,0,0.224,0.562,144.875
83,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-5,0.164,0.446,103.019
85,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-5,0.0814,0.592,123.994
73,0.503,0.748,5,-4.124,1,0.0619,0.0305,0,0.343,0.356,125.896
69,0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968
69,0.658,0.677,5,-6.628,1,0.0393,0.248,0,0.368,0.248,124.91
81,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-5,0.135,0.163,99.988
73,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001
61,0.596,0.738,8,-3.109,1,0.0411,0.109,0,0.0947,0.461,127.961
19,0.503,0.727,1,-5.456,1,0.167,0.0159,9.45e-5,0.0895,0.521,121.985
57,0.609,0.726,5,-4.346,0,0.0414,0.0723,8.45e-6,0.0895,0.362,93.958
81,0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945
79,0.63,0.928,9,-2.787,0,0.0331,0.199,0.124,0.148,0.465,123.963
84,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08
84,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-5,0.118,0.163,125.905
66,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062
8,0.432,0.74,7,-5.053,1,0.062,0.0342,6.59e-6,0.14,0.193,139.42
64,0.638,0.832,8,-5.039,1,0.049,0.141,0,0.113,0.648,124.071
61,0.759,0.716,11,-6.36,0,0.0818,0.0223,0,0.231,0.469,105.009
27,0.614,0.832,11,-3.419,0,0.0522,0.11,0,0.185,0.429,129.038
74,0.669,0.832,0,-5.72,1,0.0682,0.0106,0,0.0968,0.7,113.035
57,0.702,0.781,0,-4.081,1,0.03,0.433,0,0.135,0.382,102.997
69,0.851,0.806,4,-4.618,1,0.0786,0.12,1.33e-6,0.121,0.776,119.001
77,0.738,0.868,11,-4.373,0,0.0731,0.0389,0.00171,0.388,0.336,122.003
74,0.57,0.672,8,-5.89,0,0.0723,0.177,0,0.0768,0.448,120.019
5,0.67,0.89,5,-3.785,0,0.0576,0.122,0,0.333,0.568,124.967
57,0.708,0.727,9,-7.647,1,0.0389,0.0201,0.676,0.37,0.512,120.012
68,0.654,0.787,4,-4.999,1,0.0502,0.00515,0,0.144,0.409,123.978
65,0.945,0.584,6,-7.649,0,0.044,0.0955,0.341,0.147,0.626,124.996
58,0.704,0.929,0,-4.447,1,0.0395,0.0395,0.0249,0.181,0.633,126.055
81,0.765,0.906,8,-2.097,0,0.0965,0.125,0,0.423,0.95,96.071
68,0.682,0.855,7,-3.282,1,0.0401,0.0566,1e-6,0.101,0.304,124.004
43,0.627,0.662,7,-7.104,0,0.0349,0.0922,1.66e-4,0.143,0.596,124.039
57,0.762,0.736,7,-7.66,1,0.0778,0.135,0.0538,0.113,0.248,126.007
58,0.577,0.844,7,-3.364,1,0.0406,0.00407,6.13e-6,0.499,0.283,115.066
58,0.632,0.816,8,-4.584,1,0.0349,0.00205,0.106,0.119,0.134,127.95
91,0.598,0.526,10,-8.659,0,0.0415,0.129,0,0.14,0.529,123.935
67,0.825,0.841,0,-6.433,1,0.135,0.0906,0.00411,0.258,0.616,126.026
42,0.63,0.731,6,-4.985,1,0.0352,0.0191,7.82e-6,0.704,0.46,119.997
70,0.795,0.899,0,-4.202,1,0.0685,0.00235,3.92e-4,0.199,0.329,125.978
64,0.529,0.717,6,-7.049,0,0.24,0.123,7.07e-4,0.0363,0.481,103.99
79,0.7,0.872,10,-5.896,1,0.0666,0.121,7.08e-6,0.103,0.761,125.03
48,0.791,0.541,1,-7.14,1,0.054,0.123,4.74e-5,0.121,0.433,115.987
53,0.904,0.633,0,-5.545,1,0.0958,0.203,2.66e-4,0.163,0.492,121.995
75,0.744,0.725,11,-6.055,1,0.0303,0.018,9.29e-6,0.212,0.904,118.034
46,0.772,0.687,9,-6.348,0,0.211,0.0528,0,0.834,0.59,118.116
67,0.706,0.524,6,-8.804,1,0.026,0.127,0.00129,0.109,0.296,111.991
65,0.664,0.699,11,-7.115,0,0.27,0.0352,0,0.0612,0.252,122.019
56,0.781,0.745,1,-4.942,0,0.0374,0.0814,9.71e-5,0.106,0.498,110.051
42,0.789,0.547,9,-8.738,0,0.0748,0.072,9.21e-5,0.0782,0.48,120.024
58,0.575,0.808,1,-4.578,1,0.0439,0.0446,0,0.0693,0.232,127.922
74,0.669,0.797,9,-5.68,0,0.0624,0.259,0,0.199,0.552,119.865
65,0.567,0.946,5,-2.245,0,0.0541,0.0978,1.37e-6,0.0836,0.295,104.983
64,0.653,0.757,3,-3.642,1,0.0555,0.0997,0,0.242,0.233,128.015
51,0.721,0.779,6,-4.239,0,0.0606,0.142,0,0.143,0.327,110.026
63,0.534,0.765,1,-3.151,1,0.0338,0.0915,0.00107,0.225,0.117,127.978
83,0.651,0.693,4,-4.722,1,0.0375,0.458,0,0.335,0.392,118.97
55,0.682,0.923,0,-3.273,1,0.0364,0.00395,3e-5,0.242,0.37,130.052
39,0.66,0.827,10,-5.081,1,0.0789,0.429,0,0.0923,0.611,115.349
48,0.57,0.965,6,-4.881,0,0.0348,0.00108,0.523,0.201,0.148,123.008
59,0.608,0.918,0,-1.137,0,0.0684,0.199,0,0.309,0.422,126.022
64,0.561,0.562,9,-11.431,0,0.15,0.062,0,0.118,0.244,151.631
42,0.591,0.88,4,-5.153,0,0.223,0.0804,0,0.326,0.482,127.013
70,0.626,0.8,1,-3.988,0,0.035,0.0267,1.38e-4,0.0623,0.258,127.966
57,0.745,0.8,11,-5.606,0,0.0361,0.0209,4.79e-4,0.113,0.314,122.008
21,0.66,0.857,2,-5.219,1,0.321,0.167,1.36e-5,0.119,0.233,130.069
68,0.53,0.729,0,-6.019,1,0.0376,0.00699,0,0.103,0.219,139.929
63,0.552,0.887,1,-3.812,1,0.147,0.0457,0.0207,0.0903,0.783,125.229
54,0.471,0.911,2,-4.372,0,0.0594,0.0316,0.00648,0.571,0.197,126.112
79,0.747,0.776,10,-5.898,0,0.0722,0.0233,1.38e-5,0.761,0.67,125.07
72,0.712,0.664,11,-8.026,1,0.0345,0.0416,1.04e-4,0.0668,0.781,122.014
80,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948
47,0.517,0.793,6,-5.851,0,0.0367,0.0214,4.6e-4,0.0892,0.176,90.06
19,0.675,0.674,4,-6.329,1,0.0372,0.00339,8.55e-5,0.279,0.414,125.037
79,0.818,0.823,11,-3.563,0,0.2,0.0663,1.17e-5,0.133,0.52,128.136
59,0.639,0.591,7,-3.905,0,0.0344,0.128,6.69e-6,0.159,0.305,128.002
68,0.535,0.906,6,-4.699,0,0.0353,0.0202,7.15e-4,0.0886,0.732,126.012
72,0.784,0.721,8,-5.457,1,0.0506,0.0149,0.00424,0.285,0.895,121.966
66,0.809,0.758,4,-5.658,0,0.101,0.409,5.44e-4,0.166,0.71,125.022
59,0.669,0.793,1,-6.16,1,0.0403,0.0318,0.0372,0.555,0.159,121.995
64,0.578,0.786,9,-4.665,1,0.13,0.232,1.06e-4,0.122,0.347,105.945
9,0.733,0.839,1,-2.84,0,0.0335,0.0145,1.87e-4,0.162,0.471,126.009
41,0.63,0.726,0,-3.753,1,0.0978,0.0717,0,0.108,0.499,122.055
69,0.845,0.766,2,-5.727,0,0.0658,0.212,0,0.111,0.782,114.054
66,0.679,0.866,2,-3.754,1,0.0566,0.0337,0,0.0688,0.441,121.927
68,0.657,0.882,0,-3.565,0,0.0456,0.247,0.00202,0.112,0.179,127.994
66,0.493,0.773,5,-3.791,0,0.157,0.429,7.07e-6,0.0807,0.301,123.149
63,0.687,0.706,4,-5.357,1,0.0459,0.091,0,0.124,0.27,115.268
68,0.654,0.874,6,-3.885,1,0.0543,0.169,1.77e-6,0.134,0.542,119.85
23,0.661,0.758,7,-5.299,1,0.0864,0.0797,0,0.106,0.387,114.098
67,0.447,0.684,9,-4.721,0,0.09,0.175,0,0.478,0.437,125.655
62,0.731,0.802,5,-4.763,1,0.0623,0.022,0,0.059,0.434,121.991
9,0.489,0.766,3,-5.84,1,0.0851,0.0511,1.35e-5,0.126,0.117,121.445
59,0.6,0.888,8,-4.612,1,0.13,0.00166,0,0.4,0.641,126.056
71,0.687,0.707,4,-6.19,1,0.0328,0.0536,9.29e-5,0.16,0.607,127.033
21,0.711,0.724,7,-4.809,1,0.106,0.0835,0,0.0389,0.478,104.048
81,0.693,0.575,9,-6.998,1,0.0801,0.374,0,0.252,0.492,117.999
69,0.683,0.785,7,-4.879,1,0.037,0.0643,1.34e-5,0.177,0.581,122.997
56,0.638,0.818,9,-4.517,0,0.05,0.131,1.78e-5,0.107,0.489,126.015
56,0.707,0.806,6,-4.777,1,0.175,0.00908,0,0.366,0.634,119.972
60,0.59,0.888,5,-2.851,1,0.0765,0.0216,0,0.487,0.288,126.094
40,0.632,0.574,4,-8.584,1,0.053,0.0942,0,0.215,0.557,125.989
57,0.703,0.879,1,-4.514,0,0.177,0.0693,0,0.315,0.542,124.972
70,0.79,0.746,9,-5.96,1,0.0502,0.241,0,0.316,0.538,124.971
63,0.733,0.718,4,-7.149,0,0.0376,0.0107,0.0102,0.33,0.206,122.993
65,0.728,0.848,5,-6.248,1,0.185,0.0427,4.49e-6,0.118,0.612,124.993
56,0.502,0.78,0,-4.547,1,0.244,0.333,0,0.72,0.607,122.688
2,0.638,0.708,1,-5.001,0,0.0421,0.24,0,0.311,0.582,103.16
53,0.685,0.712,6,-4.302,0,0.0894,0.334,1.1e-6,0.047,0.483,114.989
11,0.62,0.906,11,-3.638,0,0.0627,0.102,0.0206,0.183,0.398,123.047
77,0.601,0.775,0,-4.612,1,0.0473,0.269,0,0.0883,0.483,119.964
56,0.762,0.665,11,-6.92,0,0.0471,0.169,0,0.103,0.961,115.946
65,0.684,0.95,1,-2.588,0,0.0809,0.0207,1.25e-6,0.105,0.436,125.974
34,0.65,0.819,4,-3.811,1,0.0551,0.117,0,0.0772,0.351,128.09
54,0.448,0.836,11,-6.495,1,0.0809,0.229,0,0.427,0.482,122.899
51,0.712,0.646,5,-4.23,1,0.182,0.116,0,0.123,0.607,104.998
50,0.674,0.854,5,-5.253,1,0.115,0.054,0,0.379,0.503,111.969
52,0.739,0.622,11,-5.382,0,0.0394,0.532,0,0.0508,0.615,119.992
76,0.647,0.795,1,-3.548,0,0.0372,0.0635,0,0.188,0.409,127.992
75,0.669,0.895,5,-3.787,0,0.0575,0.128,0,0.297,0.576,124.964
52,0.792,0.724,11,-5.108,0,0.0362,0.219,0,0.0911,0.429,109.984
62,0.706,0.931,0,-3.053,0,0.0456,0.354,3.72e-6,0.146,0.465,123.012
65,0.645,0.795,1,-5.439,1,0.0343,0.0334,1.05e-5,0.089,0.424,127.959
62,0.662,0.823,9,-4.7,1,0.0971,0.073,0,0.0833,0.435,118.958
10,0.673,0.885,11,-3.574,0,0.0569,0.143,0,0.184,0.704,121.082
55,0.516,0.857,0,-3.432,0,0.0463,0.0368,0,0.264,0.448,127.949
49,0.686,0.613,2,-5.614,1,0.069,0.0386,0,0.251,0.452,104.988
70,0.503,0.754,7,-3.634,1,0.0424,0.264,5.85e-5,0.297,0.597,116.524
61,0.382,0.698,6,-3.409,1,0.0374,0.00236,5.24e-5,0.108,0.151,127.816
75,0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356
60,0.708,0.825,4,-3.117,1,0.0615,0.031,0,0.191,0.662,109.991
63,0.588,0.757,5,-2.415,1,0.0716,0.327,0,0.323,0.836,122.813
73,0.636,0.63,0,-6.396,1,0.0346,0.0796,0,0.13,0.454,104.845
60,0.682,0.786,11,-4.87,0,0.0477,0.214,0,0.12,0.664,91.042
62,0.639,0.705,7,-5.039,0,0.049,0.045,0,0.425,0.595,124.957
67,0.815,0.647,9,-7.162,0,0.218,0.399,0,0.0738,0.182,125.95
61,0.696,0.907,0,-4.157,0,0.073,0.0191,1.23e-5,0.124,0.466,125.932
71,0.659,0.617,11,-5.862,0,0.0649,0.27,0,0.187,0.187,119.858
80,0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011
68,0.651,0.617,8,-6.077,1,0.0309,0.179,0,0.113,0.591,121.977
60,0.707,0.585,5,-11.024,1,0.0701,0.145,0.00485,0.257,0.277,125.161
66,0.673,0.687,6,-5.295,0,0.0623,0.269,0,0.181,0.524,96.964
75,0.567,0.765,1,-4.107,0,0.108,0.317,0,0.14,0.541,121.924
58,0.768,0.83,11,-4.983,0,0.036,0.0229,1.27e-4,0.145,0.444,126.007
74,0.734,0.765,7,-5.562,1,0.0621,0.151,0,0.231,0.518,109.989
68,0.689,0.901,7,-1.431,1,0.0678,0.145,1.03e-5,0.459,0.651,125.115
72,0.676,0.582,9,-7.58,1,0.128,0.221,0.00627,0.515,0.447,124.012
70,0.686,0.693,0,-6.245,0,0.131,0.329,0,0.136,0.699,124.206
58,0.763,0.674,9,-5.146,1,0.0378,0.0106,3.58e-6,0.0321,0.759,105.027
67,0.6,0.754,0,-4.204,1,0.0488,0.0688,0,0.151,0.641,128.044
62,0.691,0.924,0,-3.839,1,0.0577,0.00828,3.8e-6,0.402,0.34,125.983
56,0.63,0.726,0,-3.753,1,0.0978,0.0717,0,0.108,0.499,122.055
65,0.734,0.921,6,-1.936,0,0.0863,0.0328,0,0.197,0.654,120.056
51,0.605,0.854,11,-4.128,0,0.0488,0.0673,0,0.54,0.165,124.024
54,0.609,0.523,1,-12.649,1,0.0796,0.00959,1.55e-4,0.15,0.342,127.977
61,0.733,0.839,1,-2.84,0,0.0335,0.0145,1.87e-4,0.162,0.471,126.009
76,0.43,0.606,4,-5.115,0,0.0431,0.131,0,0.173,0.123,169.988
83,0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-5,0.14,0.316,113.778
63,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-5,0.0543,0.582,121.958
70,0.704,0.888,11,-2.872,1,0.0541,0.00553,0.0011,0.079,0.531,125.027
70,0.655,0.713,9,-6.293,0,0.0501,0.338,0,0.0971,0.61,94.05
56,0.732,0.734,0,-6.423,1,0.107,0.00719,1.49e-5,0.34,0.643,123.033
65,0.619,0.735,7,-3.925,1,0.0445,0.017,1.78e-6,0.347,0.668,119.981
61,0.746,0.846,9,-2.432,1,0.048,0.0485,0,0.195,0.403,114.955
60,0.776,0.809,6,-5.726,0,0.069,0.415,0,0.179,0.582,100.071
63,0.621,0.898,10,-4.569,1,0.0401,0.0976,1.08e-5,0.404,0.332,124.018
