speaker,background,type,gender,debate,day,order,sentence,PERSON,ORG,GPE,NORP,LAW,LOC,polarity_sentiment,dem_candidate_full_name
Amy Klobuchar,,Candidate,female,4,1,404,Donald Trump is not true to his word when they are a beacon of democracy in the Mideast.,Donald Trump,,,,,Mideast;,-0.175,
Amy Klobuchar,,Candidate,female,4,1,460,Yang.,Yang,,,,,,0.0,Andrew Yang
Amy Klobuchar,,Candidate,female,4,1,462,Yang.,Yang,,,,,,0.0,Andrew Yang
Amy Klobuchar,,Candidate,female,4,1,462,"Vladimir Putin is someone who has shot down planes over Ukraine, who has poisoned his opponent, and we have not talked about what we need to do to protect ourselves from Russia invading our election.",Vladimir Putin,,Russia;Ukraine;,,,,-0.1555555555555556,
Amy Klobuchar,,Candidate,female,4,1,465,"That is a bill that I need, and we need to stop Mitch McConnell from stopping that from happening.",Mitch McConnell,,,,,,0.0,
Amy Klobuchar,,Candidate,female,4,1,520,"There are three bills right now on Mitch McConnell's desk, the background check bill, my bill to close the boyfriend loophole so domestic abusers don't get guns, the bill to make it easier for police to vet people before they get a gun.",Mitch McConnell's,,,,,,0.14285714285714285,
Amy Klobuchar,,Candidate,female,4,1,721,Wade and make it the law of the land.,Wade,,,,,,0.0,
Amy Klobuchar,,Candidate,female,4,1,721,"But what I want to do right now is just say, what if Donald Trump was standing up here on the debate stage with me?",Donald Trump,,,,,,0.2857142857142857,
Amy Klobuchar,,Candidate,female,4,1,722,"You, Donald Trump, are not on the side of women.",Donald Trump,,,,,,0.0,
Amy Klobuchar,,Candidate,female,4,1,722,"You are not on the side of people of this country, when over 75 percent of people want to keep Roe v.",Roe,,,,,,0.0,
Amy Klobuchar,,Candidate,female,4,1,821,And I think just because they're different than Elizabeth's doesn't mean they're bold.,Elizabeth,,,,,,0.006944444444444438,Elizabeth Warren
Amy Klobuchar,,Candidate,female,4,1,822,"And what I have done is win and the only one up here, time and time again, the reddest of red districts, Michele Bachmann's, I -- I won that district three times, rural districts that border Iowa and North and South Dakota.",Michele Bachmann's,,North and South Dakota;Iowa;,,,,0.2,
Amy Klobuchar,,Candidate,female,4,1,823,"And that is why I have been in Pennsylvania and in Michigan and in Wisconsin and all over Ohio and in Iowa, because I think we need to build a blue Democratic wall around those states and make Donald Trump pay for it.",Donald Trump,,Iowa;Ohio;Wisconsin;Michigan;Pennsylvania;,Democratic;,,,0.0,
Amy Klobuchar,,Candidate,female,4,1,866,"For me, it's John McCain, and I miss him every day.",John McCain,,,,,,0.0,John Hickenlooper
Amy Klobuchar,,Candidate,female,4,1,866,"And he would sometimes, when we were seated with world leaders, and they would look away from me, he'd say, ""Senator Klobuchar is the lead Democrat on this trip, and she will go next.""",Klobuchar,,,Democrat;,,,0.0,Amy Klobuchar
Amy Klobuchar,,Candidate,female,4,1,867,John and I went to visit him and Cindy when he was dying.,Cindy,,,,,,0.0,
Amy Klobuchar,,Candidate,female,4,1,867,John and I went to visit him and Cindy when he was dying.,John,,,,,,0.0,John Delaney
Amy Klobuchar,,Candidate,female,5,1,19,"And it goes to everything from how he has betrayed our farmers and our workers to what he has done with foreign affairs, leaving the Kurds for slaughter, sucking up to Vladimir Putin every minute of the day.",Vladimir Putin,,,Kurds;,,,-0.125,
Amy Klobuchar,,Candidate,female,5,1,20,"And on the wall are etched the words of Walter Mondale when he looked back at their four years, not perfect.",Walter Mondale,,,,,,-0.25,
Amy Klobuchar,,Candidate,female,5,1,139,"If we had a system like this, and we did something about gerrymandering, and we stopped the voting purges, and we did something significant about making sure we don't have money in politics from the outside, Stacey Abrams would be governor of this state right now.",Stacey Abrams,,,,,,0.2901785714285714,
Amy Klobuchar,,Candidate,female,5,1,172,"First of all, I've made very clear I think that Pete is qualified to be up on this stage, and I am honored to be standing next to him.",Pete,,,,,,0.12666666666666668,Pete Buttigieg
Amy Klobuchar,,Candidate,female,5,1,176,"And if you think a woman can't beat Donald Trump, Nancy Pelosi does it every single day.",Nancy Pelosi,,,,,,-0.07142857142857142,
Amy Klobuchar,,Candidate,female,5,1,176,"And if you think a woman can't beat Donald Trump, Nancy Pelosi does it every single day.",Donald Trump,,,,,,-0.07142857142857142,
Amy Klobuchar,,Candidate,female,5,1,225,"I just am not going to go for things -- and this is not -- I'm talking about Senator Harris' plan here, but I'm talking about some of the other ideas that have been out here.",Harris,,,,,,-0.125,Kamala Harris
Amy Klobuchar,,Candidate,female,5,1,462,Wade into law.,Wade,,,,,,0.0,
Amy Klobuchar,,Candidate,female,5,1,465,And I just can't wait to stand across from Donald Trump and say this to him.,Donald Trump,,,,,,0.0,
Amy Klobuchar,,Candidate,female,5,1,465,Wade.,Wade,,,,,,0.0,
Amy Klobuchar,,Candidate,female,5,1,587,One of the people we heard from yesterday was Lieutenant Colonel Vindman.,Vindman,,,,,,0.0,
Amy Klobuchar,,Candidate,female,5,1,587,"It reminded me of Army counsel years and years ago in the McCarthy hearing, someone from Iowa, actually, Mr.",McCarthy,Army;,Iowa;,,,,0.0,
Amy Klobuchar,,Candidate,female,5,1,587,"Welch, who said, ""Have you no sense of decency, sir?""",Welch,,,,,,0.0,
Amy Klobuchar,,Candidate,female,5,1,590,"This is how we build a coalition, so we don't just beat Donald Trump.",Donald Trump,,,,,,0.0,
Amy Klobuchar,,Candidate,female,5,1,590,We send Mitch McConnell packing.,Mitch McConnell,,,,,,0.0,
Amy Klobuchar,,Candidate,female,6,1,26,"And what James Madison once said when he was speaking out at the Constitutional Convention -- and, by the way, I think he's a pretty good size for a president, he was five-foot-four.",James Madison,,,,the Constitutional Convention;,,0.475,
Amy Klobuchar,,Candidate,female,6,1,30,Richard Nixon had his top people testify.,Richard Nixon,,,,,,0.5,
Amy Klobuchar,,Candidate,female,6,1,32,"We should be hearing from Mulvaney, who is the one under oath.",Mulvaney,,,,,,0.0,
Amy Klobuchar,,Candidate,female,6,1,32,"Witnesses have said that Mulvaney is the one that said, OK, we're going to withhold this aid to a fledgling democracy to get dirt on a political opponent.",Mulvaney,,,,,,0.25,
Amy Klobuchar,,Candidate,female,6,1,33,We should hear from Bolton who told his own staff to go see a lawyer after they met with the president.,Bolton,,,,,,0.6,
Amy Klobuchar,,Candidate,female,6,1,34,"If President Trump thinks he should not be impeached, he should not be scared to put forward his own witnesses.",Trump,,,,,,0.6,
Amy Klobuchar,,Candidate,female,6,1,74,"I'll go with my friend, Sherrod Brown, who has voted against every trade agreement that's come in front of him, and he's voting for this, and I am, too.",Sherrod Brown,,,,,,0.0,
Amy Klobuchar,,Candidate,female,6,1,75,"I would not have voted for the agreement that President Trump put forward, but we've got better labor standards, better environmental standards, and a better deal when it comes to the pharmaceutical provision, which I also opposed.",Trump,,,,,,0.5,
Amy Klobuchar,,Candidate,female,6,1,77,"I think this agreement -- while Senator Sanders is correct, there are some issues with it -- is much better than the one originally proposed.",Sanders,,,,,,0.4375,Bernie Sanders
Amy Klobuchar,,Candidate,female,6,1,143,"I see the governor of California, who's been working so hard to get those done, defied every step of the way by the Trump administration.",Trump,,California;,,,,-0.2916666666666667,
Amy Klobuchar,,Candidate,female,6,1,185,"Yeah, I want to add to what Elizabeth said.",Elizabeth,,,,,,0.0,Elizabeth Warren
Amy Klobuchar,,Candidate,female,6,1,234,"As Stacey Abrams said, you know, you do not stop having your right to assemble if you don't go to a meeting for a year.",Stacey Abrams,,,,,,0.2857142857142857,
Amy Klobuchar,,Candidate,female,6,1,236,"And I would stop the gerrymandering, in addition to the agenda of economic opportunity, because as Martin Luther King said, what good is it to integrate a lunch counter if you can't afford a hamburger?",Martin Luther King,,,,,,0.45,
Amy Klobuchar,,Candidate,female,6,1,313,"And I am the one that asked every attorney general candidate we've had under Donald Trump, both of whom I opposed, about their respect for the First Amendment.",Donald Trump,,,,the First Amendment;,,0.15000000000000002,
Amy Klobuchar,,Candidate,female,6,1,358,"When I was on Trevor Noah's show once, I explained how in the history of the Senate, there was something like 2,000 men and only 50 women in the whole history.",Trevor Noah's,Senate;,,,,,0.1,
Amy Klobuchar,,Candidate,female,6,1,360,"If you look at the poll -- the state that knows me best, and that is the state of Minnesota, it showed in the state that Hillary had her lowest margin of victory, it showed that I'd beat Donald Trump by 18 points.",Donald Trump,,Minnesota;,,,,1.0,
Amy Klobuchar,,Candidate,female,6,1,360,"If you look at the poll -- the state that knows me best, and that is the state of Minnesota, it showed in the state that Hillary had her lowest margin of victory, it showed that I'd beat Donald Trump by 18 points.",Hillary,,Minnesota;,,,,1.0,
Amy Klobuchar,,Candidate,female,6,1,406,Judy -- Judy...,Judy,,,,,,0.0,
Amy Klobuchar,,Candidate,female,6,1,406,Judy -- Judy...,Judy,,,,,,0.0,
Amy Klobuchar,,Candidate,female,6,1,417,"It means making the first bill we pass when I am president will be H.R. 1, which is the ethics reform passed in the House, which is currently sitting on Mitch McConnell's desk, along with 400 bills.",Mitch McConnell's,House;,,,,,0.125,
Amy Klobuchar,,Candidate,female,6,1,481,"When I got to the Senate, Senator Kennedy asked me to be one of the two new senators that was in the group to work on the immigration reform package.",Kennedy,Senate;,,,,,0.13636363636363635,
Amy Klobuchar,,Candidate,female,6,1,482,Then I was on the Judiciary Committee when President Obama was president.,Obama,the Judiciary Committee;,,,,,0.0,
Amy Klobuchar,,Candidate,female,6,1,519,I see Elizabeth's work starting the Consumer Financial Protection Bureau and helping 29 million people.,Elizabeth,the Consumer Financial Protection Bureau;,,,,,0.0,Elizabeth Warren
Amy Klobuchar,,Candidate,female,6,1,521,I see Senator Sanders' work -- working to get the veterans bill passed across the aisle.,Sanders,,,,,,0.0,Bernie Sanders
Amy Klobuchar,,Candidate,female,6,1,570,Could I respond after Bernie?,Bernie,,,,,,0.0,Bernie Sanders
Amy Klobuchar,,Candidate,female,6,1,609,"As for the judge you just referred to, there was actually -- the judge that wrote the opinion was a judge that went through the Senate unanimously, with support by Senator Sanders, with support by President Obama, with support by then-Senator Kennedy.",Kennedy,Senate;,,,,,0.0,
Amy Klobuchar,,Candidate,female,6,1,609,"As for the judge you just referred to, there was actually -- the judge that wrote the opinion was a judge that went through the Senate unanimously, with support by Senator Sanders, with support by President Obama, with support by then-Senator Kennedy.",Obama,Senate;,,,,,0.0,
Amy Klobuchar,,Candidate,female,6,1,609,"As for the judge you just referred to, there was actually -- the judge that wrote the opinion was a judge that went through the Senate unanimously, with support by Senator Sanders, with support by President Obama, with support by then-Senator Kennedy.",Sanders,Senate;,,,,,0.0,Bernie Sanders
Amy Klobuchar,,Candidate,female,6,1,611,"I would appoint judges that are in the vein of people like Elena Kagan and Justice Breyer and Sonia Sotomayor, and let's not forget the notorious RBG.",Sonia Sotomayor,RBG;,,,,,0.0,
Amy Klobuchar,,Candidate,female,6,1,611,"I would appoint judges that are in the vein of people like Elena Kagan and Justice Breyer and Sonia Sotomayor, and let's not forget the notorious RBG.",Breyer,RBG;,,,,,0.0,
Amy Klobuchar,,Candidate,female,6,1,611,"I would appoint judges that are in the vein of people like Elena Kagan and Justice Breyer and Sonia Sotomayor, and let's not forget the notorious RBG.",Elena Kagan,RBG;,,,,,0.0,
Amy Klobuchar,,Candidate,female,6,1,613,"And if you look at my record as a lawyer and a member of the Judiciary Committee, look at the judges that I recommended to President Obama, people like Mimi Wright, who is a superstar, and Susan Richard Nelson.",Susan Richard Nelson,the Judiciary Committee;,,,,,0.0,
Amy Klobuchar,,Candidate,female,6,1,613,"And if you look at my record as a lawyer and a member of the Judiciary Committee, look at the judges that I recommended to President Obama, people like Mimi Wright, who is a superstar, and Susan Richard Nelson.",Mimi Wright,the Judiciary Committee;,,,,,0.0,
Amy Klobuchar,,Candidate,female,6,1,613,"And if you look at my record as a lawyer and a member of the Judiciary Committee, look at the judges that I recommended to President Obama, people like Mimi Wright, who is a superstar, and Susan Richard Nelson.",Obama,the Judiciary Committee;,,,,,0.0,
Amy Klobuchar,,Candidate,female,6,1,614,"That is one thing that we all learned from when President Obama was in, and that was that he was dealing with an economic crisis and it was hard to do it right away, but we have to immediately start putting judges on the bench to fill vacancies so that we can reverse the horrific nature of these Trump judges.",Trump,,,,,,-0.20148809523809524,
Amy Klobuchar,,Candidate,female,6,1,614,"That is one thing that we all learned from when President Obama was in, and that was that he was dealing with an economic crisis and it was hard to do it right away, but we have to immediately start putting judges on the bench to fill vacancies so that we can reverse the horrific nature of these Trump judges.",Obama,,,,,,-0.20148809523809524,
Amy Klobuchar,,Candidate,female,6,1,698,"First of all, Bernie, I promise, when I am your president, I will get our pharmaceutical bills done.",Bernie,,,,,,0.25,Bernie Sanders
Amy Klobuchar,,Candidate,female,6,1,700,"Your fight, Bernie, is not with me or with Vice President Biden.",Biden,,,,,,0.0,Joe Biden
Amy Klobuchar,,Candidate,female,6,1,700,"Your fight, Bernie, is not with me or with Vice President Biden.",Bernie,,,,,,0.0,Bernie Sanders
Amy Klobuchar,,Candidate,female,6,1,767,"I think when you see what's going on around the country, yes, it's the economic check that Elizabeth and Bernie have so well pointed out on this stage, but there's something else going on here, and it is a decency check.",Bernie,,,,,,0.2,Bernie Sanders
Amy Klobuchar,,Candidate,female,6,1,767,"I think when you see what's going on around the country, yes, it's the economic check that Elizabeth and Bernie have so well pointed out on this stage, but there's something else going on here, and it is a decency check.",Elizabeth,,,,,,0.2,Elizabeth Warren
Amy Klobuchar,,Candidate,female,6,1,768,"When you see people -- and we've all had this happen -- that come to our meetings and say, you know, yeah, I voted for Donald Trump, but I don't want to do it again, because I want my kids to be able to watch the president on TV and not mute the TV.",Donald Trump,,,,,,0.5,
Amy Klobuchar,,Candidate,female,6,1,795,"We have had quite a debate tonight, but I want to debate Donald Trump.",Donald Trump,,,,,,0.0,
Amy Klobuchar,,Candidate,female,6,1,795,"Mostly, who can beat Donald Trump, and how will she do it?",Donald Trump,,,,,,0.5,
Amy Klobuchar,,Candidate,female,6,1,796,"So Donald Trump built his fortune on, over time, over $413 million that he got from his dad.",Donald Trump,,,,,,0.0,
Amy Klobuchar,,Candidate,female,6,1,798,"Our politics right now, because of Donald Trump, are toxic.",Donald Trump,,,,,,0.2857142857142857,
Amy Klobuchar,,Candidate,female,7,1,22,"Thank you, Wolf.",Wolf,,,,,,0.0,
Amy Klobuchar,,Candidate,female,7,1,25,"Then I have dealt with every issue, from Afghanistan to keeping our troops with good health care after what we saw with Walter Reed and being part of an effort to improve the situation for our troops in a very big way with our education and with their jobs and also with their health care.",Walter Reed,,Afghanistan;,,,,0.35,
Amy Klobuchar,,Candidate,female,7,1,26,"I think right now what we should be talking about, though, Wolf, is what is happening right now with Donald Trump.",Donald Trump,,,,,,0.2857142857142857,
Amy Klobuchar,,Candidate,female,7,1,26,"I think right now what we should be talking about, though, Wolf, is what is happening right now with Donald Trump.",Wolf,,,,,,0.2857142857142857,
Amy Klobuchar,,Candidate,female,7,1,26,Donald Trump is taking us pell-mell toward another war.,Donald Trump,pell-mell;,,,,,0.0,
Amy Klobuchar,,Candidate,female,7,1,59,"I would leave some troops there, but not in the level that Donald Trump is taking us right now.",Donald Trump,,,,,,0.2857142857142857,
Amy Klobuchar,,Candidate,female,7,1,60,"And then when it comes to Iraq, right now, I would leave our troops there, despite the mess that has been created by Donald Trump.",Donald Trump,,Iraq;,,,,0.055357142857142855,
Amy Klobuchar,,Candidate,female,7,1,112,"My issue is that, because of the actions of Donald Trump, we are in a situation where they are now starting  Iran is starting to enrich uranium again in violation of the original agreement.",Donald Trump,,Iran;,,,,0.125,
Amy Klobuchar,,Candidate,female,7,1,113,"I would bring people together, just as President Obama did years ago, and I think that we can get this done.",Obama,,,,,,0.0,
Amy Klobuchar,,Candidate,female,7,1,115,"And I am the one person on this debate stage, on the first night of the very first debate, when we were asked what we saw as the biggest threat to our world, I said China on the economy, but I said Iran, because of Donald Trump.",Donald Trump,,Iran;China;,,,,0.2875,
Amy Klobuchar,,Candidate,female,7,1,151,"Brianne, I want to hit reality here.",Brianne,,,,,,0.0,
Amy Klobuchar,,Candidate,female,7,1,151,That plant had been shut down because of Donald Trump's trade policies and because of what he had done to those workers with giving secret waivers to oil companies and ruining the renewable fuel standard.,Donald Trump's,,,,,,-0.1851851851851852,
Amy Klobuchar,,Candidate,female,7,1,151,"And their names were embroidered on those uniforms, Derek, Mark, Salvador.",Mark,,Salvador;,,,,0.0,
Amy Klobuchar,,Candidate,female,7,1,151,"And their names were embroidered on those uniforms, Derek, Mark, Salvador.",Derek,,Salvador;,,,,0.0,
Amy Klobuchar,,Candidate,female,7,1,152,These are real people hurt by Donald Trump's trade war.,Donald Trump's,,,,,,0.2,
Amy Klobuchar,,Candidate,female,7,1,152,"So what we should do, and I support the USMCA, I am glad that these improvements were made that are supported by people like Richard Trumka and Sherrod Brown on labor and environment and on pharma, the sweetheart deal...",Sherrod Brown,USMCA;,,,,,0.5,
Amy Klobuchar,,Candidate,female,7,1,152,"So what we should do, and I support the USMCA, I am glad that these improvements were made that are supported by people like Richard Trumka and Sherrod Brown on labor and environment and on pharma, the sweetheart deal...",Richard Trumka,USMCA;,,,,,0.5,
Amy Klobuchar,,Candidate,female,7,1,225,"Thank you, Elizabeth.",Elizabeth,,,,,,0.0,Elizabeth Warren
Amy Klobuchar,,Candidate,female,7,1,235,"James Madison was 5'4"".",James Madison,,,,,,0.0,
Amy Klobuchar,,Candidate,female,7,1,236,"And when you look at the facts, Michigan has a woman governor right now and she beat a Republican, Gretchen Whitmer.",Gretchen Whitmer,,Michigan;,Republican;,,,0.2857142857142857,
Amy Klobuchar,,Candidate,female,7,1,236,Kansas has a woman governor right now and she beat Kris Kobach.,Kris Kobach,,Kansas;,,,,0.2857142857142857,
Amy Klobuchar,,Candidate,female,7,1,236,"And her name is  I'm very proud to know her, and her name is Governor Kelly.",Kelly,,,,,,1.0,
Amy Klobuchar,,Candidate,female,7,1,308,"Sanders and I have worked together on pharmaceuticals for a long, long time.",Sanders,,,,,,-0.05,Bernie Sanders
Amy Klobuchar,,Candidate,female,7,1,310,Warren on on.,Warren,,,,,,0.0,Elizabeth Warren
Amy Klobuchar,,Candidate,female,7,1,310,You have numerous House members that put Nancy Pelosi in as speaker.,Nancy Pelosi,House;,,,,,0.0,
Amy Klobuchar,,Candidate,female,7,1,345,"And, yes, I think you should show how you're going to pay for things, Bernie.",Bernie,,,,,,0.0,Bernie Sanders
Amy Klobuchar,,Candidate,female,7,1,379,"Warren, you acknowledged that Medicare for all  that you couldn't get there right away.",Warren,Medicare;,,,,,0.2857142857142857,Elizabeth Warren
Amy Klobuchar,,Candidate,female,7,1,381,"And as you talk, Mayor Buttigieg, about Medicare and having negotiation, I actually have led that bill for years.",Buttigieg,Medicare;,,,,,0.0,Pete Buttigieg
Amy Klobuchar,,Candidate,female,7,1,410,Bernie and I had an amendment on this.,Bernie,,,,,,0.0,Bernie Sanders
